doi,oa_type,is_oa,title,published_date,published_year,genre,journal_is_in_doaj,journal_issns,journal_name,publisher
10.1016/j.bmc.2017.08.043,closed,False,Linker structure-activity relationships in fluorodeoxyglucose chlorambucil conjugates for tumor-targeted chemotherapy,2017-10-01,2017.0,journal-article,False,0968-0896,Bioorganic & Medicinal Chemistry,Elsevier BV
10.1007/jhep06(2017)047 10.1007/jhep10(2017)068,publisher;repository,True,Measurement of the J/ψ pair production cross-section in pp collisions at s = 13 $$ \sqrt{s}=13 $$ TeV,2017-06-01,2017.0,journal-article,True,1029-8479,Journal of High Energy Physics,Springer Science and Business Media LLC
10.1007/jhep05(2017)158,publisher;repository,True,Search for the B s 0  → η′ϕ decay,2017-05-01,2017.0,journal-article,True,1029-8479,Journal of High Energy Physics,Springer Science and Business Media LLC
10.1016/j.mednuc.2017.02.061,closed,False,Radiomarquage du NTP 15-5 ciblant les protéoglycanes pour l’imagerie TEP des pathologies du cartilage : comparaison d’un traceur TEP à un traceur TEMP,2017-05-01,2017.0,journal-article,False,0928-1258,Médecine Nucléaire,Elsevier BV
10.15122/isbn.978-2-406-06967-6.p.0177,closed,False,,,,,,,,
10.4236/anp.2017.63010,publisher;repository,True,Boosted Photoactivity of Titania Nanotube Layers Doped with a Suspension of Gold Nanoparticles,2017-01-01,2017.0,journal-article,False,"2169-0510,2169-0529",Advances in Nanoparticles,"Scientific Research Publishing, Inc."
10.1039/c7ce01454f,repository,True,Effects of crystalline growth on structural and luminescence properties of Ca(10−3x)Eu2x(PO4)6F2 nanoparticles fabricated by using a microwave driven hydrothermal process,2017-01-01,2017.0,journal-article,False,1466-8033,CrystEngComm,Royal Society of Chemistry (RSC)
10.1007/jhep07(2017)052,publisher;repository,True,Measurement of electrons from beauty-hadron decays in p-Pb collisions at s N N = 5.02 $$ \sqrt{s_{\mathrm{NN}}}=5.02 $$ TeV and Pb-Pb collisions at s N N = 2.76 $$ \sqrt{s_{\mathrm{NN}}}=2.76 $$ TeV,2017-07-01,2017.0,journal-article,True,1029-8479,Journal of High Energy Physics,Springer Science and Business Media LLC
10.1075/is.18.1.06mor,closed,False,"You can laugh at everything, but not with everyone",2017-01-01,2017.0,journal-article,False,"1572-0373,1572-0381",Interaction Studies. Social Behaviour and Communication in Biological and Artificial Systems,John Benjamins Publishing Company
10.1186/s12263-017-0578-y,publisher;repository,True,Dietary and health biomarkers—time for an update,2017-09-29,2017.0,journal-article,True,"1555-8932,1865-3499",Genes & Nutrition,Springer Science and Business Media LLC
10.1080/19490976.2017.1334033,publisher;repository,True,Fecal microbiota variation across the lifespan of the healthy laboratory rat,2017-06-06,2017.0,journal-article,False,"1949-0976,1949-0984",Gut Microbes,Informa UK Limited
10.1515/crelle-2014-0096,closed,False,Corps de Siegel,2017-01-01,2017.0,journal-article,False,"0075-4102,1435-5345",Journal für die reine und angewandte Mathematik (Crelles Journal),Walter de Gruyter GmbH
10.4000/nrt.3099,publisher,True,"Dossier débat : Moi, Daniel Blake",2016-09-13,2016.0,journal-article,True,2263-8989,La Nouvelle Revue du Travail,OpenEdition
10.1016/j.cviu.2017.08.010,repository,True,Self-calibration of omnidirectional multi-cameras including synchronization and rolling shutter,2017-09-01,2017.0,journal-article,False,1077-3142,Computer Vision and Image Understanding,Elsevier BV
10.1016/j.cviu.2017.08.004,closed,False,A 3D Deformable Model-Based Framework for the Retrieval of Near-Isometric Flattenable Objects using Bag-of-Visual-Words,2018-02-01,2018.0,journal-article,False,1077-3142,Computer Vision and Image Understanding,Elsevier BV
10.1177/0300060517706578,publisher;repository,True,Cardiovascular risk of adipokines: a review,2017-09-25,2017.0,journal-article,True,"0300-0605,1473-2300",Journal of International Medical Research,SAGE Publications
10.1186/s12966-017-0618-4,publisher;repository,True,Do hedonic- versus nutrition-based attitudes toward food predict food choices? a cross-sectional study of 6- to 11-year-olds,2017-11-25,2017.0,journal-article,True,1479-5868,International Journal of Behavioral Nutrition and Physical Activity,Springer Science and Business Media LLC
10.1186/s12939-017-0634-7,publisher;repository,True,Occupational status as a determinant of mental health inequities in French young people: is fairness needed? Results of a cross-sectional multicentre observational survey,2017-08-08,2017.0,journal-article,True,1475-9276,International Journal for Equity in Health,Springer Science and Business Media LLC
10.1111/1467-8268.12232,closed,False,Oil and Regional Development in Chad: Assessment of the Impact of the Doba Oil Project on Poverty in the Host Region,2017-02-01,2017.0,journal-article,False,1017-6772,African Development Review,Wiley
10.1002/aic.15690,closed,False,Molecular understanding of pyridinium ionic liquids as absorbents with water as refrigerant for use in heat pumps,2017-03-07,2017.0,journal-article,False,0001-1541,AIChE Journal,Wiley
10.1007/s00280-017-3377-7,closed,False,Doxycycline and its quaternary ammonium derivative for adjuvant therapies of chondrosarcoma,2017-07-13,2017.0,journal-article,False,"0344-5704,1432-0843",Cancer Chemotherapy and Pharmacology,Springer Science and Business Media LLC
10.1016/j.ccell.2017.10.015,publisher;repository,True,SnapShot: Chronic Lymphocytic Leukemia,2017-11-01,2017.0,journal-article,False,1535-6108,Cancer Cell,Elsevier BV
10.1093/carcin/bgx074,publisher;repository,True,"Telomere length, ATM mutation status and cancer risk in Ataxia-Telangiectasia families",2017-07-21,2017.0,journal-article,False,"0143-3334,1460-2180",Carcinogenesis,Oxford University Press (OUP)
10.1002/ccd.27172,closed,False,Culprit plaque characteristics in younger versus older patients with acute coronary syndromes: An optical coherence tomography study from the FORMIDABLE registry,2017-07-12,2017.0,journal-article,False,1522-1946,Catheterization and Cardiovascular Interventions,Wiley
10.1002/ccd.26880,closed,False,Impact of an optical coherence tomography guided approach in acute coronary syndromes: A propensity matched analysis from the international FORMIDABLE-CARDIOGROUP IV and USZ registry,2016-12-28,2016.0,journal-article,False,1522-1946,Catheterization and Cardiovascular Interventions,Wiley
10.1007/s10561-017-9630-9,closed,False,Rehydration improves the ductility of dry bone allografts,2017-05-12,2017.0,journal-article,False,"1389-9333,1573-6814",Cell and Tissue Banking,Springer Science and Business Media LLC
10.1016/j.carbpol.2017.02.040,closed,False,Production of heparin and λ-carrageenan anti-heparanase derivatives using a combination of physicochemical depolymerization and glycol splitting,2017-06-01,2017.0,journal-article,False,0144-8617,Carbohydrate Polymers,Elsevier BV
10.1016/j.carbpol.2017.02.028,repository,True,TEMPO-mediated oxidation of polysaccharides: An ongoing story,2017-06-01,2017.0,journal-article,False,0144-8617,Carbohydrate Polymers,Elsevier BV
10.1016/j.carbon.2016.12.051,closed,False,Experimental and DFT high pressure study of fluorinated graphite (C2F)n,2017-04-01,2017.0,journal-article,False,0008-6223,Carbon,Elsevier BV
10.1093/cercor/bhx064,publisher,True,What's Behind a “+” Sign? Perceiving an Arithmetic Operator Recruits Brain Circuits for Spatial Orienting,2017-03-14,2017.0,journal-article,False,"1047-3211,1460-2199",Cerebral Cortex,Oxford University Press (OUP)
10.1039/c6cc09160a,closed,False,A catalytic intramolecular nitrene insertion into a copper(i)–N-heterocyclic carbene bond yielding fused nitrogen heterocycles,2017-01-01,2017.0,journal-article,False,"1359-7345,1364-548X",Chemical Communications,Royal Society of Chemistry (RSC)
10.1016/j.chemgeo.2016.12.035,repository,True,Silicate melts during Earth's core formation,2017-06-01,2017.0,journal-article,False,0009-2541,Chemical Geology,Elsevier BV
10.1016/j.chemgeo.2016.11.033,closed,False,Transient allanite replacement and prograde to retrograde monazite (re)crystallization in medium-grade metasedimentary rocks from the Orlica-Śnieżnik Dome (Czech Republic/Poland): Textural and geochronological arguments,2017-01-01,2017.0,journal-article,False,0009-2541,Chemical Geology,Elsevier BV
10.1002/cbic.201600599,closed,False,Palladium-Mediated Labeling of Nucleic Acids,2017-02-14,2017.0,journal-article,False,1439-4227,ChemBioChem,Wiley
10.1177/0333102416673204,publisher,True,Different processing of meningeal and cutaneous pain information in the spinal trigeminal nucleus caudalis,2016-10-05,2016.0,journal-article,False,"0333-1024,1468-2982",Cephalalgia,SAGE Publications
10.1177/0333102417714032,closed,False,"Recurrent administration of the nitric oxide donor, isosorbide dinitrate, induces a persistent cephalic cutaneous hypersensitivity: A model for migraine progression",2017-05-31,2017.0,journal-article,False,"0333-1024,1468-2982",Cephalalgia,SAGE Publications
10.1002/cbic.201600609,closed,False,Second-Generation Engineering of a Thermostable Transketolase (TKGst) for Aliphatic Aldehyde Acceptors with Either Improved or Reversed Stereoselectivity,2017-01-27,2017.0,journal-article,False,1439-4227,ChemBioChem,Wiley
10.1016/j.cej.2017.07.038,closed,False,Experimental and numerical investigation of hydrodynamics and mixing in a dual-impeller mechanically-stirred digester,2017-12-01,2017.0,journal-article,False,1385-8947,Chemical Engineering Journal,Elsevier BV
10.1016/j.chemgeo.2017.02.016,publisher,True,Sulfur isotope signatures in the lower crust: A SIMS study on S-rich scapolite of granulites,2017-04-01,2017.0,journal-article,False,0009-2541,Chemical Geology,Elsevier BV
10.1007/s00445-016-1084-6,closed,False,Eruption and emplacement dynamics of a thick trachytic lava flow of the Sancy volcano (France),2016-12-19,2016.0,journal-article,False,"0258-8900,1432-0819",Bulletin of Volcanology,Springer Science and Business Media LLC
10.1177/0333102417694883,publisher,True,Burning mouth syndrome,2017-03-15,2017.0,journal-article,False,"0333-1024,1468-2982",Cephalalgia,SAGE Publications
10.1007/s00445-017-1099-7,closed,False,"Textural evolution of magma during the 9.4-ka trachytic explosive eruption at Kilian Volcano, Chaîne des Puys, France",2017-01-24,2017.0,journal-article,False,"0258-8900,1432-0819",Bulletin of Volcanology,Springer Science and Business Media LLC
10.1177/0333102417727545,closed,False,Medication overuse reinstates conditioned pain modulation in women with migraine,2017-08-20,2017.0,journal-article,False,"0333-1024,1468-2982",Cephalalgia,SAGE Publications
10.1177/0333102416673206,closed,False,Occipital nerve stimulation improves the quality of life in medically-intractable chronic cluster headache: Results of an observational prospective study,2016-10-03,2016.0,journal-article,False,"0333-1024,1468-2982",Cephalalgia,SAGE Publications
10.1186/s13617-017-0062-9,publisher;repository,True,Effusive crises at Piton de la Fournaise 2014–2015: a review of a multi-national response model,2017-06-12,2017.0,journal-article,True,2191-5040,Journal of Applied Volcanology,Springer Science and Business Media LLC
10.1113/jp273350,publisher;repository,True,Effect of reproductive ageing on pregnant mouse uterus and cervix,2017-02-08,2017.0,journal-article,False,0022-3751,The Journal of Physiology,Wiley
10.1016/j.cviu.2017.06.008,repository,True,SMC faster R-CNN: Toward a scene-specialized multi-object detector,2017-11-01,2017.0,journal-article,False,1077-3142,Computer Vision and Image Understanding,Elsevier BV
10.1038/cdd.2017.35,publisher;repository,True,Activation of cell surface GRP78 decreases endoplasmic reticulum stress and neuronal death,2017-06-23,2017.0,journal-article,False,"1350-9047,1476-5403",Cell Death & Differentiation,Springer Science and Business Media LLC
10.1016/j.cemconcomp.2017.08.017,closed,False,Greening effect in slag cement materials,2017-11-01,2017.0,journal-article,False,0958-9465,Cement and Concrete Composites,Elsevier BV
10.1016/j.cemconres.2016.12.002,closed,False,The plate test carried out on fresh cement-based materials:How and why?,2017-03-01,2017.0,journal-article,False,0008-8846,Cement and Concrete Research,Elsevier BV
10.1007/s00410-017-1397-2,closed,False,Geochemical characteristics of the La Réunion mantle plume source inferred from olivine-hosted melt inclusions from the adventive cones of Piton de la Fournaise volcano (La Réunion Island),2017-08-18,2017.0,journal-article,False,"0010-7999,1432-0967",Contributions to Mineralogy and Petrology,Springer Science and Business Media LLC
10.1002/clen.201700011,closed,False,"Mesotrione Herbicide: Efficiency, Effects, and Fate in the Environment after 15 Years of Agricultural Use",2017-08-21,2017.0,journal-article,False,1863-0650,"CLEAN - Soil, Air, Water",Wiley
10.1158/1078-0432.ccr-17-1344,publisher,True,Therapeutic drug monitoring of carboplatin in high-dose protocol (TI-CE) for advanced germ cell tumors: pharmacokinetic results of a phase 2 multicenter study,2017-09-19,2017.0,journal-article,False,"1078-0432,1557-3265",Clinical Cancer Research,American Association for Cancer Research (AACR)
10.1007/s40261-017-0545-9,closed,False,Assessment of the Impact of l-Thyroxine Therapy on Bleeding Risk in Patients Receiving Vitamin K Antagonists,2017-06-13,2017.0,journal-article,False,"1173-2563,1179-1918",Clinical Drug Investigation,Springer Science and Business Media LLC
10.1161/circulationaha.117.030798,repository,True,"Acute Myocardial Infarction: Changes in Patient Characteristics, Management, and 6-Month Outcomes Over a Period of 20 Years in the FAST-MI Program (French Registry of Acute ST-Elevation or Non-ST-elevation Myocardial Infarction) 1995 to 2015",2017-11-14,2017.0,journal-article,False,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health)
10.5430/wje.v7n6p38,publisher;repository,True,Verbal Manifestation of Critical Thought: Transversal Study from Age 10 to 18 in France,2017-11-30,2017.0,journal-article,False,"1925-0754,1925-0746",World Journal of Education,Sciedu Press
10.1016/j.cmi.2016.10.025,publisher,True,Thermothelomyces thermophila human infections,2017-05-01,2017.0,journal-article,False,1198-743X,Clinical Microbiology and Infection,Elsevier BV
10.1007/s00784-016-2023-9,closed,False,Management of pulps exposed during carious tissue removal in adults: a multi-national questionnaire-based survey,2016-12-20,2016.0,journal-article,False,"1432-6981,1436-3771",Clinical Oral Investigations,Springer Science and Business Media LLC
10.1007/s00784-016-1932-y,closed,False,"Knowledge, opinions and practices of French general practitioners in the assessment of caries risk: results of a national survey",2016-08-22,2016.0,journal-article,False,"1432-6981,1436-3771",Clinical Oral Investigations,Springer Science and Business Media LLC
10.1007/s00784-017-2289-6,closed,False,Cost assessment of a new oral care program in the intensive care unit to prevent ventilator-associated pneumonia,2017-11-30,2017.0,journal-article,False,"1432-6981,1436-3771",Clinical Oral Investigations,Springer Science and Business Media LLC
10.1042/cs20160876,publisher,True, Interactions between microsatellite instability and human gut colonization by Escherichia coli in colorectal cancer ,2017-03-01,2017.0,journal-article,False,"0143-5221,1470-8736",Clinical Science,Portland Press Ltd.
10.1080/03610926.2017.1295157,closed,False,On the Flatland paradox and limiting arguments,2017-02-21,2017.0,journal-article,False,"0361-0926,1532-415X",Communications in Statistics - Theory and Methods,Informa UK Limited
10.1016/j.clnu.2016.12.003,closed,False,"Association between cachexia, chemotherapy and outcomes in older cancer patients: A systematic review",2017-12-01,2017.0,journal-article,False,0261-5614,Clinical Nutrition,Elsevier BV
10.1016/j.clnu.2015.12.008,closed,False,Plasma fatty acid biomarkers are associated with gait speed in community-dwelling older adults: The Three-City-Bordeaux study,2017-04-01,2017.0,journal-article,False,0261-5614,Clinical Nutrition,Elsevier BV
