adrCleost,adresse,codePostal,ville,Statut,anneePubli,Domaine,Titre Article,Titre Journal,doi
214409056P1,"AgroParisTech Inra Irstea VetAgroSup, UMR Metafort, Aubiere, France",,AUBIERE,NC,2017,SMV - SHS,A Context-based Procedure for Assessing Participatory Schemes in Environmental Planning,ECOL ECON,10.1016/j.ecolecon.2016.10.014
214409106P1,"Estaing Univ Hosp, Dept Digest & Hepatobiliary Dis, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Endoscopic treatment of benign esophageal strictures: a literature review,EXPER REV G,10.1080/17474124.2017.1260002
214409106P2,"Auvergne Univ, UMR, CNRS 6284, ISIT, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Endoscopic treatment of benign esophageal strictures: a literature review,EXPER REV G,10.1080/17474124.2017.1260002
214411334P1,"FERDI, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SHS,"Performance Assessment, Vulnerability, Human Capital, and the Allocation of Aid Among Developing Countries",WORLD DEV,10.1016/j.worlddev.2015.05.005
214411334P2,"Univ Auvergne, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SHS,"Performance Assessment, Vulnerability, Human Capital, and the Allocation of Aid Among Developing Countries",WORLD DEV,10.1016/j.worlddev.2015.05.005
214438522P1,"Univ Lyon, UJM St Etienne, UBP, CNRS,IRD,Lab Magmas & Volcans UMR 6524, F-42023 St Etienne, France",42023,SAINT-ETIENNE,NC,2017,SMV,"Paleoproterozoic rejuvenation and replacement of Archaean lithosphere: Evidence from zircon U-Pb dating and Hf isotopes in crustal xenoliths at Udachnaya, Siberian craton",EARTH PLAN,10.1016/j.epsl.2016.09.046
214438522P2,"Clermont Univ, Lab Magmas & Volcans, UBP, CNRS,IRD, 6 Ave Blaise Pascal, F-63178 Aubiere, France",63178,AUBIERE,NC,2017,SMV,"Paleoproterozoic rejuvenation and replacement of Archaean lithosphere: Evidence from zircon U-Pb dating and Hf isotopes in crustal xenoliths at Udachnaya, Siberian craton",EARTH PLAN,10.1016/j.epsl.2016.09.046
214450729P1,"Univ Auvergne, Clermont Univ, Unite Nutr Humaine, UFR Pharm,UMR 1019,Equipe ECREIN,CLARA, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Enhancement of Lytic Activity by Leptin Is Independent From Lipid Rafts in Murine Primary Splenocytes,J CELL PHYS,10.1002/jcp.25394
214450729P2,"CRNH Auvergne, INRA, UMR 1019, Unite Nutr Humaine, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Enhancement of Lytic Activity by Leptin Is Independent From Lipid Rafts in Murine Primary Splenocytes,J CELL PHYS,10.1002/jcp.25394
214450729P3,"CHU Gabriel Montpied, Ctr Jean Perrin, Unite Nutr, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Enhancement of Lytic Activity by Leptin Is Independent From Lipid Rafts in Murine Primary Splenocytes,J CELL PHYS,10.1002/jcp.25394
214507369P15,"Ctr Hosp Estaing, Dept Anesthesie Reanimat, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Modulation by Polymyxin-B Hemoperfusion of Inflammatory Response Related to Severe Peritonitis,SHOCK,10.1097/SHK.0000000000000725
214507369P16,"Univ Clermont Ferrand, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,Modulation by Polymyxin-B Hemoperfusion of Inflammatory Response Related to Severe Peritonitis,SHOCK,10.1097/SHK.0000000000000725
214524862P2,"Univ Clermont Ferrand, Clermont Univ, UMR CNRS 6296, Inst Chim Clermont Ferrand, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Red-green-blue upconversion luminescence and energy transfer in Yb3+/Er3+/Tm3+ doped YP5O14 ultraphosphates,J LUMINESC,10.1016/j.jlumin.2016.09.054
214524862P3,"Clermont Univ, Inst Chim Clermont Ferrand, UMR CNRS 6296, ENSCCF, BP 10448, F-63000 Clermont Ferrand, France",63000,CLERMONT-FERRAND,NC,2017,SMV,Red-green-blue upconversion luminescence and energy transfer in Yb3+/Er3+/Tm3+ doped YP5O14 ultraphosphates,J LUMINESC,10.1016/j.jlumin.2016.09.054
214524862P4,"CNRS, UMR 6296, ICCF, BP 80026, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Red-green-blue upconversion luminescence and energy transfer in Yb3+/Er3+/Tm3+ doped YP5O14 ultraphosphates,J LUMINESC,10.1016/j.jlumin.2016.09.054
214536501P3,"Univ Clermont Ferrand, Clermont Univ, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,"The influence of light, substrate and seed origin on the germination and establishment of an ant-garden bromeliad",PLANT BIO,10.1111/plb.12452
214536501P4,"CNRS, Lab Microorganismes Genome & Environm, UMR 6023, Aubiere, France",,AUBIERE,NC,2017,SMV,"The influence of light, substrate and seed origin on the germination and establishment of an ant-garden bromeliad",PLANT BIO,10.1111/plb.12452
214555692P4,"Univ Hosp Estaing, Digest Dept, Clermont Ferrand, France",,CLERMONT-FERRAND,NC,2017,SMV,SOFOSBUVIR AND NS5A INHIBITORS WITHOUT RIBAVIRIN DURING 12 WEEKS ARE EFFICIENT TO TREAT HEPATITIS C RECURRENCE AFTER LIVER TRANSPLANTATION ONLY IN GENOTYPE 1. RESULTS FROM THE CO23 ANRS CUPILT STUDY,TRANSPLAN I,
214606514P2,"Univ Clermont Auvergne, Inst Pascal, Sigma Clermont, Campus Clermont Ferrand, F-63175 Clermont Ferrand, France",63175,CLERMONT-FERRAND,NC,2017,SMV,Quantification of cohesive fracture parameters based on the coupling of Bayesian updating and the boundary element method,ENG ANAL,10.1016/j.enganabound.2016.10.010
214606514P3,"CNRS, UMR 6602, Inst Pascal, F-63171 Aubiere, France",63171,AUBIERE,NC,2017,SMV,Quantification of cohesive fracture parameters based on the coupling of Bayesian updating and the boundary element method,ENG ANAL,10.1016/j.enganabound.2016.10.010
